	S5	S6	S7	S8	S13	S14	S15	S16	S21	S22	S23	S24
PENG0000000312	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000313	0	1	0	0	0	0	0	1	0	0	0	1
PENG0000000314	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000315	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000316	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000317	8	115	6	10	9	0	14	6	46	43	8	20
PENG0000000318	18	23	14	12	25	18	28	3	10	25	1	18
PENG0000000319	5	15	1	5	3	26	2	6	6	6	8	1
PENG0000000320	115	277	637	867	97	212	804	230	54	107	276	656
PENG0000000321	0	2	0	0	0	0	0	0	3	4	0	1
PENG0000000322	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000323	1	758	55	1039	0	171	19	5324	0	458	45	907
PENG0000000324	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000325	0	0	0	0	0	0	0	0	0	1	0	0
PENG0000000326	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000327	110	206	141	339	101	327	276	307	92	191	107	397
PENG0000000328	41	102	27	41	66	62	42	44	34	84	26	54
PENG0000000329	0	0	0	1	0	0	0	0	0	0	0	0
PENG0000000330	9	24	24	29	12	6	19	17	10	24	9	20
PENG0000000331	0	0	0	0	0	0	1	0	0	0	0	0
PENG0000000332	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000333	0	0	1	1	1	0	0	1	1	0	1	2
PENG0000000334	5	939	18	377	8	794	13	155	2	936	6	438
PENG0000000335	1	2	10	3	0	0	5	8	0	6	7	2
PENG0000000336	9	164	34	223	15	21	7	247	5	51	53	137
PENG0000000337	2	6	14	9	1	0	9	6	8	18	14	2
PENG0000000338	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000339	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000340	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000341	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000342	327	476	222	354	386	392	234	489	360	418	283	263
PENG0000000343	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000344	0	0	0	0	0	0	0	5	0	0	0	0
PENG0000000345	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000346	26196	69208	34758	53223	19581	137569	40447	51941	31276	71592	36780	54954
PENG0000000347	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000348	442	491	508	335	600	461	499	815	578	373	623	339
PENG0000000349	7	10	9	3	4	1	11	42	12	20	2	15
PENG0000000350	287	170	442	241	368	187	450	204	403	125	590	271
PENG0000000351	25	22	30	22	22	19	21	4	16	12	7	21
PENG0000000352	20	131	7	31	22	41	8	42	8	101	10	36
PENG0000000353	0	1	0	1	0	0	0	0	0	1	0	0
PENG0000000354	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000355	11	9	6	15	13	7	10	51	12	7	5	18
PENG0000000356	0	0	11	0	0	0	0	0	6	19	0	0
PENG0000000357	3266	2193	3352	2497	3363	2223	3474	2065	3124	1540	3597	2715
PENG0000000358	22454	21402	20752	19643	26250	17694	23463	15848	20511	15125	17269	20180
PENG0000000359	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000360	2	10	0	1	1	66	5	7	1	12	3	12
PENG0000000361	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000362	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000363	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000364	2	6	39	9	1	1	27	16	59	6	285	11
PENG0000000365	84	39	45	19	37	9	49	41	101	13	46	19
PENG0000000366	0	0	0	0	1	0	1	0	0	0	0	0
PENG0000000367	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000368	38	110	28	45	48	32	33	43	50	64	21	65
PENG0000000369	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000370	1	0	0	0	0	0	0	0	0	0	2	0
PENG0000000371	3119	1445	3152	1435	2986	1256	2572	607	3299	747	3258	1416
PENG0000000372	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000373	21392	10683	15008	11812	25027	10911	14312	11960	26367	6120	25504	11765
PENG0000000374	3	3	11	3	11	12	4	1	0	0	0	13
PENG0000000375	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000376	42	36	23	23	64	14	21	74	57	24	9	38
